user_count,est_gender
682.0,female
1883.0,female
1901.0,male
2230.0,male
2313.0,male
2524.0,male
2650.0,male
2679.0,male
3707.0,female
3745.0,female
3838.0,female
4617.0,male
4940.0,female
5041.0,female
5067.0,male
5229.0,male
5608.0,male
5677.0,male
5730.0,female
5866.0,female
5967.0,male
6072.0,female
6455.0,female
6742.0,male
6887.0,female
7050.0,female
7522.0,female
7937.0,female
8900.0,female
9084.0,male
9851.0,male
9975.0,male
10577.0,male
10643.0,female
10856.0,male
10891.0,male
11079.0,male
11183.0,female
11472.0,male
11666.0,male
11726.0,male
11953.0,male
12019.0,male
12202.0,male
12426.0,female
12647.0,male
12828.0,female
13698.0,female
13847.0,male
14144.0,male
14692.0,female
14694.0,male
14919.0,female
14975.0,female
15068.0,male
15736.0,male
16583.0,male
16727.0,female
16877.0,female
17108.0,male
17647.0,male
18058.0,male
18221.0,male
18415.0,male
18698.0,female
18804.0,male
19157.0,female
19383.0,male
19795.0,male
19910.0,male
20170.0,female
20206.0,male
20230.0,male
20624.0,male
21032.0,male
21144.0,male
21246.0,male
21519.0,female
21648.0,female
21993.0,male
22108.0,male
22267.0,male
22368.0,male
22410.0,female
22790.0,male
22833.0,female
23090.0,male
23271.0,female
23386.0,female
23680.0,female
23894.0,female
24579.0,female
24861.0,male
25065.0,male
25279.0,male
25337.0,female
25664.0,male
26009.0,female
26658.0,male
26736.0,male
26923.0,male
26930.0,male
27336.0,female
27380.0,female
27896.0,female
28110.0,male
28130.0,female
28260.0,female
28374.0,male
28746.0,male
29226.0,female
29294.0,male
29653.0,male
29736.0,female
30271.0,female
30420.0,female
30514.0,female
30699.0,female
31058.0,female
31101.0,male
31487.0,female
31563.0,female
31612.0,female
31615.0,male
31757.0,female
32086.0,male
32270.0,female
32352.0,male
32521.0,female
32522.0,female
32547.0,female
32668.0,female
32689.0,male
33223.0,female
33366.0,male
33426.0,male
33749.0,female
34028.0,male
34269.0,male
34796.0,male
34856.0,female
34909.0,male
34936.0,female
35004.0,male
35307.0,female
35370.0,female
36222.0,male
36325.0,male
36509.0,female
36875.0,male
36989.0,female
37449.0,male
37778.0,male
38477.0,female
38989.0,female
39181.0,female
39367.0,male
40186.0,female
40415.0,female
40912.0,male
41153.0,male
41347.0,male
41805.0,male
42599.0,male
43403.0,female
43490.0,male
43837.0,male
44301.0,male
44461.0,female
44798.0,male
44946.0,male
45186.0,female
45378.0,male
45468.0,female
45635.0,female
46261.0,female
47303.0,female
47344.0,male
47568.0,male
47792.0,unknown
48253.0,male
48698.0,male
49282.0,female
49638.0,female
49724.0,female
50348.0,female
50443.0,female
51114.0,female
51281.0,female
51523.0,male
51950.0,female
52607.0,female
52721.0,male
53059.0,female
53122.0,male
53774.0,male
53831.0,female
54007.0,male
54194.0,female
54678.0,female
