user_count,education,education_id,ed_list
36501,Bachelor or Higher,0,[]
36502,High School,2,[]
36503,Bachelor or Higher,0,[]
36504,Bachelor or Higher,0,[]
36505,Some College or Associate,1,[]
36506,High School,2,[]
36507,Some College or Associate,1,[]
36508,Bachelor or Higher,0,[]
36509,Bachelor or Higher,0,[]
36510,Bachelor or Higher,0,[]
36511,Some College or Associate,1,[]
36512,Less Than High School,3,[]
36513,High School,2,[]
36514,High School,2,[]
36515,Some College or Associate,1,[]
36516,Bachelor or Higher,0,[]
36517,Bachelor or Higher,0,[]
36518,Bachelor or Higher,0,[]
36519,Bachelor or Higher,0,[]
36520,Bachelor or Higher,0,[]
36521,Bachelor or Higher,0,[]
36522,Bachelor or Higher,0,[]
36523,Bachelor or Higher,0,[]
36524,Bachelor or Higher,0,[]
36525,Bachelor or Higher,0,[]
36526,Some College or Associate,1,[]
36527,Bachelor or Higher,0,[]
36528,Bachelor or Higher,0,[]
36529,Bachelor or Higher,0,[]
36530,Bachelor or Higher,0,[]
36531,High School,2,[]
36532,Less Than High School,3,[]
36533,Bachelor or Higher,0,[]
36534,Bachelor or Higher,0,[]
36535,Some College or Associate,1,[]
36536,High School,2,[]
36537,Bachelor or Higher,0,[]
36538,Bachelor or Higher,0,[]
36539,Bachelor or Higher,0,[]
36540,Bachelor or Higher,0,[]
36541,Bachelor or Higher,0,[]
36542,Bachelor or Higher,0,[]
36543,Bachelor or Higher,0,[]
36544,Some College or Associate,1,[]
36545,Less Than High School,3,[]
36546,Bachelor or Higher,0,[]
36547,Some College or Associate,1,[]
36548,Bachelor or Higher,0,[]
36549,Bachelor or Higher,0,[]
36550,Bachelor or Higher,0,[]
36551,Bachelor or Higher,0,[]
36552,Bachelor or Higher,0,[]
36553,Bachelor or Higher,0,[]
36554,Bachelor or Higher,0,[]
36555,Bachelor or Higher,0,[]
36556,Bachelor or Higher,0,[]
36557,Other,4,"[['', 'STEAM Academy', '']]"
36558,Bachelor or Higher,0,[]
36559,High School,2,[]
36560,Some College or Associate,1,[]
36561,Some College or Associate,1,[]
36562,Bachelor or Higher,0,[]
36563,Bachelor or Higher,0,[]
36564,Some College or Associate,1,[]
36565,Other,4,"[['', 'Harcourt', '']]"
36566,Some College or Associate,1,[]
36567,Less Than High School,3,[]
36568,Bachelor or Higher,0,[]
36569,Bachelor or Higher,0,[]
36570,Bachelor or Higher,0,[]
36571,Bachelor or Higher,0,[]
36572,Bachelor or Higher,0,[]
36573,Some College or Associate,1,[]
36574,Bachelor or Higher,0,[]
36575,Some College or Associate,1,[]
36576,Bachelor or Higher,0,[]
36577,Other,4,"[['', 'Universidad Nacional Agraria La Molina Lima Peru', '']]"
36578,Bachelor or Higher,0,[]
36579,Bachelor or Higher,0,[]
36580,Bachelor or Higher,0,[]
36581,Bachelor or Higher,0,[]
36582,Bachelor or Higher,0,[]
36583,Bachelor or Higher,0,[]
36584,Some College or Associate,1,[]
36585,Bachelor or Higher,0,[]
36586,Bachelor or Higher,0,[]
36587,High School,2,[]
36588,Some College or Associate,1,[]
36589,Bachelor or Higher,0,[]
36590,Some College or Associate,1,[]
36591,error,error,error
36592,Bachelor or Higher,0,[]
36593,Bachelor or Higher,0,[]
36594,Some College or Associate,1,[]
36595,Bachelor or Higher,0,[]
36596,Some College or Associate,1,[]
36597,Bachelor or Higher,0,[]
36598,Less Than High School,3,[]
36599,Bachelor or Higher,0,[]
36600,Some College or Associate,1,[]
36601,Bachelor or Higher,0,[]
36602,Bachelor or Higher,0,[]
36603,Some College or Associate,1,[]
36604,Some College or Associate,1,[]
36605,Other,4,"[['', 'Meadowlark Middle', 'only in 8th grade. only simple coding knowledge']]"
36606,Bachelor or Higher,0,[]
36607,Bachelor or Higher,0,[]
36608,Bachelor or Higher,0,[]
36609,Bachelor or Higher,0,[]
36610,Bachelor or Higher,0,[]
36611,Some College or Associate,1,[]
36612,High School,2,[]
36613,Some College or Associate,1,[]
36614,Some College or Associate,1,[]
36615,Bachelor or Higher,0,[]
36616,Bachelor or Higher,0,[]
36617,Some College or Associate,1,[]
36618,Bachelor or Higher,0,[]
36619,Less Than High School,3,[]
36620,Less Than High School,3,[]
36621,Some College or Associate,1,[]
36622,Other,4,"[['', 'Southview', '']]"
36623,Bachelor or Higher,0,[]
36624,Bachelor or Higher,0,[]
36625,Some College or Associate,1,[]
36626,Bachelor or Higher,0,[]
36627,Some College or Associate,1,[]
36628,Bachelor or Higher,0,[]
36629,Bachelor or Higher,0,[]
36630,Bachelor or Higher,0,[]
36631,Less Than High School,3,[]
36632,Some College or Associate,1,[]
36633,Bachelor or Higher,0,[]
36634,High School,2,[]
36635,Some College or Associate,1,[]
36636,Some College or Associate,1,[]
36637,Bachelor or Higher,0,[]
36638,Bachelor or Higher,0,[]
36639,Bachelor or Higher,0,[]
36640,Bachelor or Higher,0,[]
36641,High School,2,[]
36642,Bachelor or Higher,0,[]
36643,Bachelor or Higher,0,[]
36644,Bachelor or Higher,0,[]
36645,Bachelor or Higher,0,[]
36646,Bachelor or Higher,0,[]
36647,Bachelor or Higher,0,[]
36648,Bachelor or Higher,0,[]
36649,Less Than High School,3,[]
36650,Bachelor or Higher,0,[]
36651,Bachelor or Higher,0,[]
36652,Less Than High School,3,[]
36653,Bachelor or Higher,0,[]
36654,Some College or Associate,1,[]
36655,Bachelor or Higher,0,[]
36656,Bachelor or Higher,0,[]
36657,Some College or Associate,1,[]
36658,Bachelor or Higher,0,[]
36659,Bachelor or Higher,0,[]
36660,Bachelor or Higher,0,[]
36661,Bachelor or Higher,0,[]
36662,Some College or Associate,1,[]
36663,Bachelor or Higher,0,[]
36664,error,error,error
36665,Some College or Associate,1,[]
36666,Bachelor or Higher,0,[]
36667,Bachelor or Higher,0,[]
36668,Some College or Associate,1,[]
36669,Some College or Associate,1,[]
36670,error,error,error
36671,Some College or Associate,1,[]
36672,Bachelor or Higher,0,[]
36673,Bachelor or Higher,0,[]
36674,Bachelor or Higher,0,[]
36675,Some College or Associate,1,[]
36676,Bachelor or Higher,0,[]
36677,Bachelor or Higher,0,[]
36678,Bachelor or Higher,0,[]
36679,Bachelor or Higher,0,[]
36680,Bachelor or Higher,0,[]
36681,Bachelor or Higher,0,[]
36682,Bachelor or Higher,0,[]
36683,Bachelor or Higher,0,[]
36684,Some College or Associate,1,[]
36685,Some College or Associate,1,[]
36686,Bachelor or Higher,0,[]
36687,Some College or Associate,1,[]
36688,Bachelor or Higher,0,[]
36689,Bachelor or Higher,0,[]
36690,High School,2,[]
36691,Bachelor or Higher,0,[]
36692,Some College or Associate,1,[]
36693,Bachelor or Higher,0,[]
36694,Bachelor or Higher,0,[]
36695,Some College or Associate,1,[]
36696,Some College or Associate,1,[]
36697,Bachelor or Higher,0,[]
36698,Some College or Associate,1,[]
36699,Some College or Associate,1,[]
36700,High School,2,[]
36701,Bachelor or Higher,0,[]
36702,Bachelor or Higher,0,[]
36703,Bachelor or Higher,0,[]
36704,Bachelor or Higher,0,[]
36705,error,error,error
36706,Some College or Associate,1,[]
36707,error,error,error
36708,error,error,error
36709,Bachelor or Higher,0,[]
36710,Some College or Associate,1,[]
36711,Bachelor or Higher,0,[]
36712,High School,2,[]
36713,Bachelor or Higher,0,[]
36714,Bachelor or Higher,0,[]
36715,Bachelor or Higher,0,[]
36716,Bachelor or Higher,0,[]
36717,Bachelor or Higher,0,[]
36718,Bachelor or Higher,0,[]
36719,Bachelor or Higher,0,[]
36720,error,error,error
36721,Bachelor or Higher,0,[]
36722,error,error,error
36723,Other,4,"[['', 'Miami Jacobs School of Technology', 'obtained my MCSE in 1999']]"
36724,High School,2,[]
36725,Bachelor or Higher,0,[]
36726,Bachelor or Higher,0,[]
36727,Bachelor or Higher,0,[]
36728,Bachelor or Higher,0,[]
36729,Bachelor or Higher,0,[]
36730,Bachelor or Higher,0,[]
36731,Bachelor or Higher,0,[]
36732,Bachelor or Higher,0,[]
36733,Bachelor or Higher,0,[]
36734,Bachelor or Higher,0,[]
36735,Bachelor or Higher,0,[]
36736,Bachelor or Higher,0,[]
36737,Bachelor or Higher,0,[]
36738,Bachelor or Higher,0,[]
36739,Bachelor or Higher,0,[]
36740,Bachelor or Higher,0,[]
36741,Bachelor or Higher,0,[]
36742,Bachelor or Higher,0,[]
36743,Bachelor or Higher,0,[]
36744,Bachelor or Higher,0,[]
36745,Some College or Associate,1,[]
