user_count,gender,age,age_range_id
45423,female,29.0,2
45424,female,41.0,3
45425,male,10.0,0
45426,female,24.0,1
45427,female,25.0,2
45428,male,26.0,2
45429,female,31.0,2
45430,female,25.0,2
45431,female,40.0,3
45432,female,25.0,2
45433,female,31.0,2
45434,female,25.0,2
45435,male,39.0,3
45436,male,25.0,2
45437,female,29.0,2
45438,female,31.0,2
45439,female,27.0,2
45440,male,46.0,4
45441,female,26.0,2
45442,female,32.0,2
45443,female,29.0,2
45444,male,44.0,3
45445,female,22.0,1
45446,female,21.0,1
45447,female,23.0,1
45448,female,31.0,2
45449,female,40.0,3
45450,male,35.0,3
45451,female,34.0,2
45452,male,39.0,3
45453,female,28.0,2
45454,female,20.0,1
45455,male,31.0,2
45456,female,25.0,2
45457,female,20.0,1
45458,female,22.0,1
45459,female,31.0,2
45460,female,26.0,2
45461,female,48.0,4
45462,female,25.0,2
45463,error,error,error
45464,female,22.0,1
45465,male,40.0,3
45466,female,22.0,1
45467,female,28.0,2
45468,female,30.0,2
45469,female,23.0,1
45470,male,35.0,3
45471,female,31.0,2
45472,female,23.0,1
45473,male,33.0,2
45474,female,25.0,2
45475,male,31.0,2
45476,female,31.0,2
45477,female,12.0,0
45478,female,28.0,2
45479,male,26.0,2
45480,female,33.0,2
45481,female,27.0,2
45482,female,29.0,2
45483,female,21.0,1
45484,male,29.0,2
45485,female,23.0,1
45486,male,43.0,3
45487,male,42.0,3
45488,male,22.0,1
45489,female,21.0,1
45490,female,22.0,1
45491,female,27.0,2
45492,male,28.0,2
45493,female,31.0,2
45494,female,25.0,2
45495,female,24.0,1
45496,female,30.0,2
45497,female,20.0,1
45498,female,25.0,2
45499,female,32.0,2
45500,male,20.0,1
45501,error,error,error
45502,male,32.0,2
45503,female,33.0,2
45504,male,49.0,4
45505,female,26.0,2
45506,female,33.0,2
45507,male,34.0,2
45508,female,32.0,2
45509,female,28.0,2
45510,female,29.0,2
45511,male,28.0,2
45512,female,28.0,2
45513,male,33.0,2
45514,female,30.0,2
45515,female,25.0,2
45516,male,39.0,3
45517,female,43.0,3
45518,error,error,error
45519,female,25.0,2
45520,female,24.0,1
45521,female,32.0,2
45522,female,32.0,2
45523,male,28.0,2
45524,female,28.0,2
45525,female,30.0,2
45526,female,45.0,4
45527,female,29.0,2
45528,female,34.0,2
45529,male,46.0,4
45530,female,47.0,4
45531,female,27.0,2
45532,female,18.0,0
45533,female,28.0,2
45534,female,27.0,2
45535,male,12.0,0
45536,female,19.0,0
45537,female,38.0,3
45538,female,39.0,3
45539,error,error,error
45540,female,28.0,2
45541,error,error,error
45542,female,22.0,1
45543,female,21.0,1
45544,male,27.0,2
45545,male,20.0,1
45546,female,30.0,2
45547,female,28.0,2
45548,female,24.0,1
45549,female,29.0,2
45550,male,46.0,4
45551,male,33.0,2
45552,male,35.0,3
45553,male,32.0,2
45554,female,27.0,2
45555,male,30.0,2
45556,female,23.0,1
45557,male,35.0,3
45558,male,27.0,2
45559,female,30.0,2
45560,male,26.0,2
45561,female,27.0,2
45562,female,23.0,1
45563,female,20.0,1
45564,female,22.0,1
45565,female,26.0,2
45566,male,42.0,3
45567,male,41.0,3
45568,female,24.0,1
45569,female,35.0,3
45570,male,38.0,3
45571,error,error,error
45572,female,26.0,2
45573,female,19.0,0
45574,male,40.0,3
45575,female,24.0,1
45576,male,40.0,3
45577,female,24.0,1
45578,male,29.0,2
45579,male,42.0,3
45580,male,39.0,3
45581,female,31.0,2
45582,male,29.0,2
45583,female,52.0,4
45584,female,32.0,2
45585,error,error,error
45586,female,28.0,2
45587,female,30.0,2
45588,male,22.0,1
45589,male,26.0,2
45590,male,36.0,3
45591,male,22.0,1
45592,female,30.0,2
45593,female,29.0,2
45594,male,32.0,2
45595,female,29.0,2
45596,female,21.0,1
45597,female,22.0,1
45598,male,22.0,1
45599,female,21.0,1
45600,female,35.0,3
45601,female,13.0,0
45602,male,11.0,0
45603,male,19.0,0
45604,female,43.0,3
45605,female,55.0,5
45606,female,24.0,1
45607,female,25.0,2
45608,error,error,error
45609,female,45.0,4
45610,female,34.0,2
45611,male,29.0,2
45612,male,26.0,2
45613,female,14.0,0
45614,male,37.0,3
45615,error,error,error
45616,male,31.0,2
45617,male,33.0,2
45618,female,26.0,2
45619,female,25.0,2
45620,male,36.0,3
45621,male,44.0,3
45622,female,40.0,3
45623,female,46.0,4
45624,male,35.0,3
45625,male,33.0,2
45626,female,28.0,2
45627,male,27.0,2
45628,female,51.0,4
45629,male,27.0,2
45630,male,28.0,2
45631,female,26.0,2
45632,female,24.0,1
45633,female,24.0,1
45634,male,39.0,3
45635,error,error,error
45636,female,25.0,2
45637,female,26.0,2
45638,error,error,error
45639,error,error,error
45640,female,30.0,2
45641,male,45.0,4
45642,female,20.0,1
45643,female,23.0,1
45644,female,33.0,2
45645,female,21.0,1
45646,male,21.0,1
45647,female,32.0,2
45648,female,44.0,3
45649,male,32.0,2
45650,male,26.0,2
45651,error,error,error
45652,male,21.0,1
45653,female,35.0,3
45654,female,33.0,2
45655,male,36.0,3
45656,male,29.0,2
45657,female,30.0,2
45658,female,40.0,3
45659,error,error,error
45660,female,19.0,0
45661,female,38.0,3
45662,female,30.0,2
45663,female,29.0,2
45664,male,35.0,3
45665,female,33.0,2
45666,female,35.0,3
45667,female,24.0,1
45668,female,21.0,1
45669,female,23.0,1
45670,female,29.0,2
45671,male,35.0,3
45672,female,29.0,2
45673,female,31.0,2
45674,error,error,error
45675,female,20.0,1
45676,female,26.0,2
45677,male,24.0,1
45678,male,29.0,2
45679,female,26.0,2
45680,female,28.0,2
45681,male,35.0,3
45682,error,error,error
45683,female,21.0,1
45684,female,37.0,3
45685,female,29.0,2
45686,female,27.0,2
45687,male,29.0,2
45688,male,34.0,2
45689,female,46.0,4
45690,error,error,error
45691,female,28.0,2
45692,female,43.0,3
45693,male,30.0,2
45694,female,29.0,2
45695,female,22.0,1
45696,female,26.0,2
45697,female,25.0,2
45698,error,error,error
45699,male,26.0,2
45700,male,35.0,3
45701,female,32.0,2
45702,female,24.0,1
45703,error,error,error
45704,male,25.0,2
45705,male,35.0,3
45706,male,37.0,3
45707,male,37.0,3
45708,male,26.0,2
45709,male,26.0,2
45710,male,26.0,2
45711,male,39.0,3
45712,male,30.0,2
45713,female,33.0,2
45714,error,error,error
45715,male,45.0,4
45716,female,24.0,1
45717,female,29.0,2
45718,male,38.0,3
45719,female,29.0,2
45720,male,32.0,2
45721,female,31.0,2
45722,error,error,error
45723,error,error,error
45724,error,error,error
45725,male,26.0,2
45726,male,42.0,3
45727,male,33.0,2
45728,male,46.0,4
45729,male,40.0,3
45730,female,37.0,3
45731,error,error,error
45732,male,38.0,3
45733,error,error,error
45734,female,22.0,1
45735,female,32.0,2
45736,female,35.0,3
45737,male,41.0,3
45738,male,45.0,4
45739,male,40.0,3
45740,male,47.0,4
45741,error,error,error
45742,error,error,error
45743,male,21.0,1
45744,error,error,error
45745,male,37.0,3
45746,female,28.0,2
45747,male,46.0,4
45748,female,25.0,2
45749,female,34.0,2
45750,male,49.0,4
45751,male,40.0,3
45752,male,38.0,3
45753,female,27.0,2
45754,female,36.0,3
45755,female,26.0,2
45756,error,error,error
45757,male,26.0,2
45758,male,25.0,2
45759,male,37.0,3
45760,male,44.0,3
45761,female,25.0,2
45762,female,21.0,1
45763,male,14.0,0
45764,male,28.0,2
45765,female,26.0,2
45766,error,error,error
45767,error,error,error
45768,male,33.0,2
45769,male,26.0,2
45770,female,28.0,2
45771,male,27.0,2
45772,female,29.0,2
45773,female,22.0,1
45774,male,35.0,3
45775,error,error,error
45776,male,26.0,2
45777,female,28.0,2
45778,female,27.0,2
45779,female,31.0,2
45780,male,32.0,2
45781,female,31.0,2
45782,female,37.0,3
45783,male,31.0,2
45784,female,14.0,0
45785,male,40.0,3
45786,male,33.0,2
45787,male,57.0,5
45788,female,42.0,3
45789,male,46.0,4
45790,female,32.0,2
45791,male,26.0,2
45792,male,26.0,2
45793,female,49.0,4
45794,male,39.0,3
45795,error,error,error
45796,female,35.0,3
45797,female,33.0,2
45798,female,40.0,3
45799,male,29.0,2
45800,male,26.0,2
45801,male,27.0,2
45802,female,32.0,2
45803,female,30.0,2
45804,male,52.0,4
45805,male,38.0,3
45806,male,55.0,5
45807,male,32.0,2
45808,female,27.0,2
45809,female,31.0,2
45810,error,error,error
45811,male,31.0,2
45812,female,24.0,1
45813,female,28.0,2
45814,male,31.0,2
45815,male,35.0,3
45816,male,27.0,2
45817,male,29.0,2
45818,male,51.0,4
45819,male,33.0,2
45820,female,26.0,2
45821,female,30.0,2
45822,male,47.0,4
45823,male,32.0,2
45824,female,31.0,2
45825,female,30.0,2
45826,male,25.0,2
45827,female,28.0,2
45828,female,26.0,2
45829,female,36.0,3
45830,male,28.0,2
45831,female,27.0,2
45832,female,26.0,2
45833,male,33.0,2
45834,female,26.0,2
45835,male,52.0,4
45836,male,31.0,2
45837,female,39.0,3
45838,female,31.0,2
45839,male,47.0,4
45840,female,35.0,3
45841,female,33.0,2
45842,male,33.0,2
45843,male,47.0,4
45844,male,32.0,2
45845,male,30.0,2
45846,male,58.0,5
45847,female,36.0,3
45848,female,22.0,1
45849,error,error,error
45850,male,23.0,1
45851,male,36.0,3
45852,male,31.0,2
45853,male,33.0,2
45854,female,31.0,2
45855,male,29.0,2
45856,female,22.0,1
45857,male,29.0,2
45858,male,34.0,2
45859,female,36.0,3
45860,male,33.0,2
45861,error,error,error
45862,male,33.0,2
45863,female,29.0,2
45864,male,37.0,3
45865,female,24.0,1
45866,female,31.0,2
45867,male,43.0,3
45868,male,36.0,3
45869,female,28.0,2
45870,male,46.0,4
45871,female,31.0,2
45872,male,39.0,3
45873,male,31.0,2
45874,female,45.0,4
45875,female,26.0,2
45876,female,20.0,1
45877,male,35.0,3
45878,female,19.0,0
45879,female,24.0,1
45880,male,28.0,2
45881,female,31.0,2
45882,male,36.0,3
45883,error,error,error
45884,male,24.0,1
45885,male,29.0,2
45886,female,24.0,1
45887,male,28.0,2
45888,error,error,error
45889,error,error,error
45890,female,22.0,1
45891,male,32.0,2
45892,female,30.0,2
45893,female,41.0,3
45894,male,28.0,2
45895,male,38.0,3
45896,female,24.0,1
45897,female,30.0,2
45898,female,31.0,2
45899,male,44.0,3
45900,female,18.0,0
45901,male,24.0,1
45902,male,29.0,2
45903,male,28.0,2
45904,male,37.0,3
45905,female,22.0,1
45906,female,35.0,3
45907,male,39.0,3
45908,male,46.0,4
45909,error,error,error
45910,male,57.0,5
45911,male,56.0,5
45912,female,33.0,2
45913,female,23.0,1
45914,female,25.0,2
45915,male,50.0,4
45916,male,22.0,1
45917,error,error,error
45918,female,23.0,1
45919,male,46.0,4
45920,male,30.0,2
45921,female,26.0,2
45922,female,25.0,2
45923,female,21.0,1
45924,female,39.0,3
45925,female,36.0,3
45926,female,14.0,0
45927,female,24.0,1
45928,female,29.0,2
45929,male,40.0,3
45930,female,23.0,1
45931,male,35.0,3
45932,male,31.0,2
45933,male,24.0,1
45934,male,27.0,2
45935,female,26.0,2
45936,female,33.0,2
45937,female,36.0,3
45938,female,29.0,2
45939,female,67.0,6
45940,female,32.0,2
45941,male,42.0,3
45942,female,27.0,2
45943,female,24.0,1
45944,error,error,error
45945,male,30.0,2
45946,male,36.0,3
45947,male,48.0,4
45948,female,59.0,5
45949,error,error,error
45950,female,52.0,4
45951,female,21.0,1
45952,female,44.0,3
45953,male,31.0,2
45954,male,55.0,5
45955,male,33.0,2
45956,female,55.0,5
45957,error,error,error
45958,female,43.0,3
45959,male,32.0,2
45960,male,32.0,2
45961,female,17.0,0
45962,error,error,error
45963,female,31.0,2
45964,male,31.0,2
45965,female,28.0,2
45966,male,40.0,3
45967,female,26.0,2
45968,male,38.0,3
45969,female,26.0,2
45970,female,34.0,2
45971,male,22.0,1
45972,female,36.0,3
45973,error,error,error
45974,male,39.0,3
45975,female,27.0,2
45976,male,23.0,1
45977,female,31.0,2
45978,female,40.0,3
45979,female,39.0,3
45980,male,34.0,2
45981,female,35.0,3
45982,female,21.0,1
45983,female,34.0,2
45984,female,25.0,2
45985,male,31.0,2
45986,male,28.0,2
45987,female,30.0,2
45988,male,28.0,2
45989,female,58.0,5
45990,female,31.0,2
45991,female,31.0,2
45992,female,55.0,5
45993,female,20.0,1
45994,male,29.0,2
45995,male,30.0,2
45996,female,43.0,3
45997,female,32.0,2
45998,male,33.0,2
45999,male,42.0,3
46000,male,31.0,2
46001,male,28.0,2
46002,female,36.0,3
46003,male,32.0,2
46004,male,28.0,2
46005,male,53.0,4
46006,male,30.0,2
46007,female,43.0,3
46008,male,34.0,2
46009,male,40.0,3
46010,male,36.0,3
46011,female,32.0,2
46012,female,26.0,2
46013,female,41.0,3
46014,male,34.0,2
46015,male,38.0,3
46016,male,22.0,1
46017,male,39.0,3
46018,female,21.0,1
46019,female,36.0,3
46020,error,error,error
46021,error,error,error
46022,female,26.0,2
46023,female,17.0,0
46024,error,error,error
