user_count,gender,age,age_range_id
44215,male,29.0,2
44216,male,34.0,2
44217,female,39.0,3
44218,male,40.0,3
44219,male,44.0,3
44220,female,25.0,2
44221,male,32.0,2
44222,male,40.0,3
44223,male,34.0,2
44224,male,44.0,3
44225,male,32.0,2
44226,female,37.0,3
44227,male,32.0,2
44228,male,65.0,6
44229,female,27.0,2
44230,male,34.0,2
44231,female,21.0,1
44232,male,26.0,2
44233,male,26.0,2
44234,male,44.0,3
44235,male,33.0,2
44236,female,34.0,2
44237,male,30.0,2
44238,male,35.0,3
44239,male,35.0,3
44240,male,20.0,1
44241,female,26.0,2
44242,male,31.0,2
