user_count,skilltest_tenure
282,None
283,"[2406, 80, 6]"
284,None
285,"[1059, 35, 2]"
286,"[1964, 65, 5]"
287,None
288,None
289,"[2275, 75, 6]"
290,"[859, 28, 2]"
291,"[355, 11, 0]"
292,"[597, 19, 1]"
293,"[226, 7, 0]"
294,"[836, 27, 2]"
295,None
296,"[92, 3, 0]"
297,"[825, 27, 2]"
298,"[2284, 76, 6]"
299,"[870, 29, 2]"
300,None
301,None
302,None
303,None
304,None
305,None
306,"[1349, 44, 3]"
307,"[607, 20, 1]"
308,"[658, 21, 1]"
309,None
310,"[481, 16, 1]"
311,"[1835, 61, 5]"
312,None
313,"[216, 7, 0]"
314,"[561, 18, 1]"
315,"[460, 15, 1]"
316,"[405, 13, 1]"
317,"[202, 6, 0]"
318,"[359, 11, 0]"
319,None
320,None
321,"[138, 4, 0]"
322,"[100, 3, 0]"
323,None
324,None
325,None
326,"[326, 10, 0]"
327,None
328,"[565, 18, 1]"
329,None
330,None
331,None
332,None
333,None
334,None
335,"[194, 6, 0]"
336,None
337,"[402, 13, 1]"
338,"[2582, 86, 7]"
339,None
340,None
341,None
342,None
343,"[358, 11, 0]"
344,"[831, 27, 2]"
345,"[249, 8, 0]"
346,None
347,"[617, 20, 1]"
348,"[236, 7, 0]"
349,"[285, 9, 0]"
350,"[295, 9, 0]"
351,"[1256, 41, 3]"
352,"[2746, 91, 7]"
353,"[1284, 42, 3]"
354,"[25, 0, 0]"
355,"[73, 2, 0]"
356,"[625, 20, 1]"
357,None
358,"[164, 5, 0]"
359,None
360,"[760, 25, 2]"
361,None
362,"[671, 22, 1]"
363,"[2001, 66, 5]"
364,None
365,None
366,None
367,"[543, 18, 1]"
368,"[468, 15, 1]"
369,"[205, 6, 0]"
370,"[565, 18, 1]"
371,"[845, 28, 2]"
372,"[425, 14, 1]"
373,"[1051, 35, 2]"
374,"[1245, 41, 3]"
375,"[804, 26, 2]"
376,"[708, 23, 1]"
377,"[1117, 37, 3]"
378,"[406, 13, 1]"
379,"[436, 14, 1]"
380,None
381,None
382,None
383,"[361, 12, 0]"
384,"[636, 21, 1]"
385,"[781, 26, 2]"
386,None
387,"[738, 24, 2]"
388,"[873, 29, 2]"
389,None
390,None
391,"[216, 7, 0]"
392,"[909, 30, 2]"
393,"[691, 23, 1]"
394,None
395,"[59, 1, 0]"
396,"[586, 19, 1]"
397,"[282, 9, 0]"
398,"[608, 20, 1]"
399,None
400,"[963, 32, 2]"
401,"[885, 29, 2]"
402,"[552, 18, 1]"
403,"[1025, 34, 2]"
404,"[716, 23, 1]"
405,"[136, 4, 0]"
406,"[71, 2, 0]"
407,"[862, 28, 2]"
408,None
409,"[352, 11, 0]"
410,"[344, 11, 0]"
411,None
412,"[130, 4, 0]"
413,None
414,None
415,"[377, 12, 1]"
416,"[39, 1, 0]"
417,"[248, 8, 0]"
418,"[263, 8, 0]"
419,None
420,None
421,"[1386, 46, 3]"
422,"[413, 13, 1]"
423,"[439, 14, 1]"
424,"[319, 10, 0]"
425,"[1071, 35, 2]"
426,None
427,None
428,"[694, 23, 1]"
429,"[1927, 64, 5]"
430,"[1037, 34, 2]"
431,"[185, 6, 0]"
432,"[835, 27, 2]"
433,"[1046, 34, 2]"
434,None
435,"[697, 23, 1]"
436,"[1269, 42, 3]"
437,"[661, 22, 1]"
438,"[235, 7, 0]"
439,"[51, 1, 0]"
440,"[387, 12, 1]"
441,"[211, 7, 0]"
442,"[684, 22, 1]"
443,"[418, 13, 1]"
444,"[287, 9, 0]"
445,None
446,"[683, 22, 1]"
447,"[814, 27, 2]"
448,"[705, 23, 1]"
449,"[503, 16, 1]"
450,"[725, 24, 1]"
451,"[425, 14, 1]"
452,"[473, 15, 1]"
453,None
454,"[125, 4, 0]"
455,"[858, 28, 2]"
456,"[192, 6, 0]"
457,"[65, 2, 0]"
458,"[68, 2, 0]"
459,"[378, 12, 1]"
460,None
461,None
462,None
463,"[859, 28, 2]"
464,None
465,"[1041, 34, 2]"
466,"[755, 25, 2]"
467,"[177, 5, 0]"
468,"[331, 11, 0]"
469,"[107, 3, 0]"
470,"[448, 14, 1]"
471,"[380, 12, 1]"
472,None
473,"[2618, 87, 7]"
474,None
475,None
476,"[905, 30, 2]"
477,"[573, 19, 1]"
478,"[636, 21, 1]"
479,"[2215, 73, 6]"
480,None
481,"[873, 29, 2]"
482,"[140, 4, 0]"
483,"[461, 15, 1]"
484,None
485,"[655, 21, 1]"
486,"[336, 11, 0]"
487,"[610, 20, 1]"
488,"[386, 12, 1]"
489,"[61, 2, 0]"
490,None
491,"[93, 3, 0]"
492,"[489, 16, 1]"
493,None
494,"[1462, 48, 4]"
495,None
496,None
497,"[342, 11, 0]"
498,"[377, 12, 1]"
499,"[433, 14, 1]"
500,"[479, 15, 1]"
501,None
502,"[113, 3, 0]"
503,None
504,"[454, 15, 1]"
505,"[273, 9, 0]"
506,"[46, 1, 0]"
507,None
508,"[2921, 97, 8]"
509,"[592, 19, 1]"
510,None
511,None
512,"[528, 17, 1]"
513,"[348, 11, 0]"
514,None
515,None
516,None
517,"[1655, 55, 4]"
518,"[631, 21, 1]"
519,"[33, 1, 0]"
520,None
521,"[170, 5, 0]"
522,None
523,"[2482, 82, 6]"
524,None
525,"[691, 23, 1]"
526,None
527,"[114, 3, 0]"
528,"[465, 15, 1]"
529,"[432, 14, 1]"
530,"[1650, 55, 4]"
531,None
532,"[494, 16, 1]"
533,None
534,None
535,None
536,None
537,"[317, 10, 0]"
538,None
539,"[1283, 42, 3]"
540,"[344, 11, 0]"
541,"[108, 3, 0]"
542,"[817, 27, 2]"
543,"[785, 26, 2]"
544,None
545,None
546,"[1561, 52, 4]"
547,"[1444, 48, 3]"
548,"[1473, 49, 4]"
549,"[653, 21, 1]"
550,None
551,None
552,None
553,"[2343, 78, 6]"
554,None
555,"[346, 11, 0]"
556,"[575, 19, 1]"
557,"[52, 1, 0]"
558,"[610, 20, 1]"
559,"[460, 15, 1]"
560,None
561,"[141, 4, 0]"
562,None
563,"[949, 31, 2]"
564,"[1550, 51, 4]"
565,"[1697, 56, 4]"
566,"[3856, 128, 10]"
567,"[2229, 74, 6]"
568,"[2713, 90, 7]"
569,"[1855, 61, 5]"
