user_count,hr_tenure
56,"[472, 15, 1, [40.0, 40.0, 30.0, 35.0, 30.0, 30.0, 25.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0], 31.18, 30.0]"
57,"[545, 18, 1, [35.0, 20.0, 25.0, 20.0, 20.0, 20.0, 20.0, 15.0, 10.0, 5.0], 19.0, 20.0]"
58,"[0, 0, 0, [12.5, 12.5, 12.5, 12.5, 12.5, 22.22], 14.12, 12.5]"
59,"[464, 15, 1, [50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 30.0, 50.0], 47.5, 50.0]"
60,"[513, 17, 1, [40.0, 40.0, 30.0, 20.0], 32.5, 35.0]"
61,"[852, 28, 2, [30.0, 23.0, 23.0, 22.0, 23.0, 20.0, 23.0, 23.0, 23.0, 23.0, 23.0, 22.0, 22.0, 23.0, 23.0, 20.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 30.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 20.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 25.0, 22.0, 20.82, 22.0, 22.0, 30.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 30.0, 22.0, 20.0, 20.0, 22.0, 22.0, 22.0, 20.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 20.0, 20.0, 20.0, 20.0, 18.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 30.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0], 22.06, 22.0]"
62,"[55, 1, 0, [70.0, 70.0, 70.0, 70.0, 70.0], 70.0, 70.0]"
63,None
64,"[0, 0, 0, [75.0, 55.0], 65.0, 65.0]"
65,"[2003, 66, 5, [45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 60.0, 60.0, 85.0, 35.0, 65.0, 55.0, 85.0, 45.0, 25.0], 51.88, 45.0]"
66,"[179, 5, 0, [45.0, 35.0, 55.0, 35.0], 42.5, 40.0]"
67,"[34, 1, 0, [30.0, 50.0, 30.0, 38.0, 30.0, 30.0], 34.67, 30.0]"
68,"[52, 1, 0, [45.0, 100.0, 10.0, 45.0, 45.0, 105.0], 58.33, 45.0]"
69,"[0, 0, 0, [70.0], 70.0, 70.0]"
70,"[158, 5, 0, [16.0, 16.0, 35.0, 16.0, 40.0, 15.0], 23.0, 16.0]"
71,"[230, 7, 0, [65.0, 40.0, 49.0, 69.0, 49.0, 68.0, 33.0, 68.0, 65.0], 56.22, 65.0]"
72,"[192, 6, 0, [25.0, 25.0, 22.0], 24.0, 25.0]"
73,"[520, 17, 1, [30.0, 35.0, 44.0, 25.0, 30.0], 32.8, 30.0]"
74,"[342, 11, 0, [40.0, 35.0, 40.0, 35.0], 37.5, 37.5]"
75,"[191, 6, 0, [55.0, 50.0, 50.0, 50.0, 20.0, 50.0, 35.0, 40.0, 20.0, 20.0, 30.0, 20.0, 20.0, 20.0, 15.0, 10.0, 15.0], 30.59, 20.0]"
76,"[191, 6, 0, [30.0, 30.0, 25.0, 30.0, 30.0, 25.0, 30.0, 30.0, 30.0, 30.0, 25.0, 15.0, 15.0], 26.54, 30.0]"
77,"[174, 5, 0, [35.0, 25.0, 30.0, 35.0, 16.5, 12.5, 30.0], 26.29, 30.0]"
78,"[0, 0, 0, [80.0], 80.0, 80.0]"
79,"[58, 1, 0, [80.0, 62.5], 71.25, 71.25]"
80,"[574, 19, 1, [23.0, 25.0, 26.0, 27.0, 23.0, 26.0, 27.0, 26.0, 23.0, 20.0, 25.0, 27.0, 25.0, 24.0, 26.0, 23.0, 26.0, 26.0, 25.0, 24.0, 25.0, 23.0, 24.0, 19.0, 20.0, 21.0, 23.0, 20.0, 20.0, 20.0, 20.0, 15.0, 20.0, 20.0, 23.0, 20.0, 23.0, 16.0, 15.0, 20.0, 16.0, 9.0], 22.12, 23.0]"
81,"[708, 23, 1, [40.0, 35.0, 45.0, 45.0, 35.0, 35.0, 45.0, 45.0, 35.0, 45.0, 45.0, 45.0, 40.0, 45.0, 35.0, 35.0, 30.0, 25.0, 25.0, 35.0, 30.0], 37.86, 35.0]"
82,"[40, 1, 0, [50.0, 20.0, 50.0, 50.0, 50.0, 30.0, 28.0], 39.71, 50.0]"
83,"[116, 3, 0, [75.0, 75.0, 45.0, 45.0, 35.0, 25.0], 50.0, 45.0]"
84,"[207, 6, 0, [25.0, 15.0, 20.0], 20.0, 20.0]"
85,None
86,"[32, 1, 0, [45.0, 92.0, 75.0], 70.67, 75.0]"
