user_count,education,education_id
259,Bachelor or Higher,0
260,None,5
261,Bachelor or Higher,0
262,Bachelor or Higher,0
263,Bachelor or Higher,0
264,None,5
265,Bachelor or Higher,0
266,Bachelor or Higher,0
267,Bachelor or Higher,0
268,Bachelor or Higher,0
269,Bachelor or Higher,0
270,Bachelor or Higher,0
271,None,5
272,None,5
273,Bachelor or Higher,0
274,Bachelor or Higher,0
275,None,5
276,Bachelor or Higher,0
277,Bachelor or Higher,0
278,None,5
279,Bachelor or Higher,0
280,Bachelor or Higher,0
281,Bachelor or Higher,0
282,Bachelor or Higher,0
283,None,5
284,Bachelor or Higher,0
285,None,5
286,Bachelor or Higher,0
287,Bachelor or Higher,0
288,Bachelor or Higher,0
289,None,5
290,Bachelor or Higher,0
291,None,5
292,Bachelor or Higher,0
293,Bachelor or Higher,0
294,Bachelor or Higher,0
295,Bachelor or Higher,0
296,Bachelor or Higher,0
297,None,5
298,None,5
299,None,5
300,None,5
301,None,5
302,Bachelor or Higher,0
303,Bachelor or Higher,0
304,Bachelor or Higher,0
305,None,5
306,Bachelor or Higher,0
307,None,5
308,Bachelor or Higher,0
309,Bachelor or Higher,0
310,None,5
311,None,5
312,Bachelor or Higher,0
313,None,5
314,None,5
315,None,5
316,Bachelor or Higher,0
317,Bachelor or Higher,0
318,None,5
319,None,5
320,Bachelor or Higher,0
321,Bachelor or Higher,0
322,None,5
323,Bachelor or Higher,0
324,Bachelor or Higher,0
325,Bachelor or Higher,0
326,Bachelor or Higher,0
327,Bachelor or Higher,0
328,Bachelor or Higher,0
329,Bachelor or Higher,0
330,Bachelor or Higher,0
331,Bachelor or Higher,0
332,None,5
333,Bachelor or Higher,0
334,Bachelor or Higher,0
335,error,error
336,Bachelor or Higher,0
337,error,error
338,Bachelor or Higher,0
339,error,error
340,error,error
341,error,error
342,error,error
343,error,error
344,error,error
345,error,error
346,error,error
347,error,error
348,error,error
349,error,error
350,error,error
351,error,error
352,error,error
353,error,error
354,error,error
355,error,error
356,error,error
357,error,error
358,error,error
359,error,error
360,error,error
361,Bachelor or Higher,0
362,error,error
363,None,5
364,error,error
365,error,error
366,error,error
367,error,error
368,error,error
369,error,error
370,error,error
371,error,error
372,error,error
373,error,error
374,error,error
375,error,error
376,error,error
377,error,error
378,error,error
379,error,error
380,error,error
381,error,error
382,error,error
383,error,error
384,None,5
385,error,error
386,error,error
387,error,error
388,error,error
389,None,5
390,error,error
391,error,error
392,error,error
393,error,error
394,error,error
395,error,error
396,error,error
397,error,error
398,Bachelor or Higher,0
399,Bachelor or Higher,0
400,error,error
401,error,error
402,None,5
403,error,error
404,error,error
405,error,error
406,error,error
407,error,error
408,error,error
409,error,error
410,error,error
411,error,error
412,error,error
413,error,error
414,error,error
415,error,error
416,error,error
417,error,error
418,error,error
419,error,error
420,error,error
421,error,error
422,error,error
423,error,error
424,error,error
425,error,error
426,error,error
427,error,error
428,error,error
429,None,5
430,error,error
431,error,error
432,error,error
433,error,error
434,Bachelor or Higher,0
435,Bachelor or Higher,0
436,None,5
437,None,5
438,None,5
439,Bachelor or Higher,0
440,Bachelor or Higher,0
441,Bachelor or Higher,0
442,Bachelor or Higher,0
443,None,5
444,Bachelor or Higher,0
445,None,5
446,Bachelor or Higher,0
447,Bachelor or Higher,0
448,Bachelor or Higher,0
449,None,5
450,Bachelor or Higher,0
451,Bachelor or Higher,0
452,Bachelor or Higher,0
453,Bachelor or Higher,0
454,Bachelor or Higher,0
455,Bachelor or Higher,0
456,Bachelor or Higher,0
457,Bachelor or Higher,0
458,Bachelor or Higher,0
459,Bachelor or Higher,0
460,Bachelor or Higher,0
461,Bachelor or Higher,0
462,None,5
463,Bachelor or Higher,0
464,Bachelor or Higher,0
465,None,5
466,Bachelor or Higher,0
467,Bachelor or Higher,0
468,None,5
469,None,5
470,Bachelor or Higher,0
471,None,5
472,Bachelor or Higher,0
473,Bachelor or Higher,0
474,Bachelor or Higher,0
475,None,5
476,None,5
477,Bachelor or Higher,0
478,Bachelor or Higher,0
479,Bachelor or Higher,0
480,None,5
481,Bachelor or Higher,0
482,Bachelor or Higher,0
483,Bachelor or Higher,0
484,Bachelor or Higher,0
485,Bachelor or Higher,0
486,None,5
487,Bachelor or Higher,0
488,Bachelor or Higher,0
489,Bachelor or Higher,0
490,Bachelor or Higher,0
491,Bachelor or Higher,0
492,Bachelor or Higher,0
493,Bachelor or Higher,0
494,Bachelor or Higher,0
495,Bachelor or Higher,0
496,Bachelor or Higher,0
497,Bachelor or Higher,0
498,Bachelor or Higher,0
499,None,5
500,Bachelor or Higher,0
501,None,5
502,Bachelor or Higher,0
503,Bachelor or Higher,0
504,Bachelor or Higher,0
505,Bachelor or Higher,0
506,Bachelor or Higher,0
507,Bachelor or Higher,0
508,None,5
509,Bachelor or Higher,0
510,None,5
511,Bachelor or Higher,0
512,Bachelor or Higher,0
513,Bachelor or Higher,0
514,Bachelor or Higher,0
515,Bachelor or Higher,0
516,Bachelor or Higher,0
517,None,5
518,Bachelor or Higher,0
519,Bachelor or Higher,0
520,Bachelor or Higher,0
521,Bachelor or Higher,0
522,None,5
523,None,5
524,Bachelor or Higher,0
525,None,5
526,Bachelor or Higher,0
527,Bachelor or Higher,0
528,None,5
529,Bachelor or Higher,0
530,None,5
531,Bachelor or Higher,0
532,None,5
533,Bachelor or Higher,0
534,Bachelor or Higher,0
535,Bachelor or Higher,0
536,None,5
537,Bachelor or Higher,0
538,Bachelor or Higher,0
539,Bachelor or Higher,0
540,Bachelor or Higher,0
541,Bachelor or Higher,0
542,Bachelor or Higher,0
543,Bachelor or Higher,0
544,Bachelor or Higher,0
545,Bachelor or Higher,0
546,None,5
547,Bachelor or Higher,0
548,Bachelor or Higher,0
549,Bachelor or Higher,0
550,Bachelor or Higher,0
551,Bachelor or Higher,0
552,Bachelor or Higher,0
553,None,5
554,Bachelor or Higher,0
555,Bachelor or Higher,0
556,Bachelor or Higher,0
557,Bachelor or Higher,0
558,None,5
559,Bachelor or Higher,0
560,Bachelor or Higher,0
561,None,5
562,Bachelor or Higher,0
563,Bachelor or Higher,0
564,Bachelor or Higher,0
565,Bachelor or Higher,0
566,Bachelor or Higher,0
567,Bachelor or Higher,0
568,Bachelor or Higher,0
569,Bachelor or Higher,0
570,Bachelor or Higher,0
571,Bachelor or Higher,0
572,None,5
573,Bachelor or Higher,0
574,Bachelor or Higher,0
575,Bachelor or Higher,0
576,Bachelor or Higher,0
577,Bachelor or Higher,0
578,Bachelor or Higher,0
579,None,5
580,Bachelor or Higher,0
581,Bachelor or Higher,0
582,Bachelor or Higher,0
583,Bachelor or Higher,0
584,Bachelor or Higher,0
585,Bachelor or Higher,0
586,None,5
587,Bachelor or Higher,0
588,Bachelor or Higher,0
589,Bachelor or Higher,0
590,Bachelor or Higher,0
591,None,5
592,None,5
593,Bachelor or Higher,0
594,Bachelor or Higher,0
595,Bachelor or Higher,0
596,Bachelor or Higher,0
597,Bachelor or Higher,0
598,Bachelor or Higher,0
599,Bachelor or Higher,0
600,None,5
601,Bachelor or Higher,0
602,None,5
603,Bachelor or Higher,0
604,Bachelor or Higher,0
605,None,5
606,None,5
607,None,5
608,None,5
609,None,5
610,Bachelor or Higher,0
611,Bachelor or Higher,0
612,Bachelor or Higher,0
613,None,5
614,Bachelor or Higher,0
615,None,5
616,None,5
617,Bachelor or Higher,0
618,Bachelor or Higher,0
619,Bachelor or Higher,0
620,Bachelor or Higher,0
621,Bachelor or Higher,0
622,None,5
623,Bachelor or Higher,0
624,None,5
625,None,5
626,Bachelor or Higher,0
627,Bachelor or Higher,0
628,None,5
629,Bachelor or Higher,0
630,None,5
631,Bachelor or Higher,0
632,Bachelor or Higher,0
633,None,5
634,Bachelor or Higher,0
635,Bachelor or Higher,0
636,Bachelor or Higher,0
637,Bachelor or Higher,0
638,Bachelor or Higher,0
639,None,5
640,Bachelor or Higher,0
641,Bachelor or Higher,0
642,None,5
643,Bachelor or Higher,0
644,Bachelor or Higher,0
645,None,5
646,None,5
647,Bachelor or Higher,0
648,Bachelor or Higher,0
649,Bachelor or Higher,0
650,Bachelor or Higher,0
